Namespace(beam=5, cpu=False, criterion='cross_entropy', data=['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'], dataset_impl=None, decoding_iterations=1, decoding_strategy='mask_predict', dehyphenate=False, diverse_beam_groups=-1, diverse_beam_strength=0.5, dynamic_length=False, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', gold_target_len=False, left_pad_source='True', left_pad_target='False', length_beam=5, lenpen=1, log_format=None, log_interval=1000, lr_scheduler='fixed', lr_shrink=0.1, mask_range=False, match_source_len=False, max_len_a=0, max_len_b=200, max_sentences=20, max_source_positions=1024, max_target_positions=1024, max_tokens=None, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, num_shards=1, num_workers=0, optimizer='nag', path='DE2EN/checkpoint_best.pt', prefix_size=0, print_alignment=False, quiet=False, raw_text=False, remove_bpe='@@ ', replace_unk=None, required_batch_size_multiple=8, results_path=None, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, seed=1, self_target=False, shard_id=0, skip_invalid_size_inputs_valid_test=False, source_lang=None, target_lang=None, task='translation_self', tbmf_wrapper=False, temperature=1.0, tensorboard_logdir='', threshold_loss_scale=None, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, warmup_updates=0, weight_decay=0.0)
| [de] dictionary: 8848 types
| [en] dictionary: 6640 types
| PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen test 6750 examples
| ['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'] test 6750 examples
| loading model(s) from DE2EN/checkpoint_best.pt
S-1267	warum ?
H-3735	why don &apos;t have the cruability of a k of jennings bs , especially if you can expand it with the next generation of the watgeneration of the watson machine ?

S-3900	aber weil diesem individuum die rezeptoren fehlen , um das testosteron zu erkennen , reagiert der körper nicht auf das testosteron .
T-3900	but because this individual lacks receptors to hear that testosterone , the body doesn &apos;t react to the testosterone .
H-3900	but because this individual is the receptors to see the testosterone , the body doesn &apos;t respond to the testosterone .

S-4317	es beginnt mit den geschlechtsteilen , dann kommen die schimpfwörter , danach die bush-verleumdungen und zuletzt machen die leute tatsächlich kunst .
T-4317	first it starts with the sexual organs , then it starts with cuss words , then it was bush slanders and then people actually got to art .
H-4317	it starts with the gender , and then the shrine words , then , the bush h publishshts , and after finally , people actually do art .

S-5696	das ist also nur eine sehr einfache chemische form von leben , aber interessanter wird es , wenn diese tröpfchen einen trick über abstraktion lernten .
T-5696	now that &apos;s sort of just a very simple chemical form of life , but when things got interesting was when these drops learned a trick about abstraction .
H-5696	so this is just a very simple chemical form of life , but more interesting , when these dropks learned a trick about abstraction .

S-6153	und vor allem möchte ich jenen von ihnen , die das ebenso sehen , einfach nur sagen : verlieren sie das ziel nicht aus den augen . geben sie nicht auf .
T-6153	and more than anything , for those of you who share that , i &apos;ve simply come to tell you to keep your eyes on the prize , hold on .
H-6153	and most of all , i want those those of you who see this this , just say , don &apos;t the goal out of the eyes . don &apos;t give up .

S-303	durch die nicht teilnahme geben sie bis zu 5000 us $ pro jahr auf von dem arbeitsgeber , der glücklich gewesen wäre ihren beitrag zu vermehren .
T-303	by not participating , they are passing up as much as 5,000 dollars a year from the employer , who would happily match their contribution .
H-303	through the &apos;t participation they give up to 5,000 u.s. dollars a year on the emploemployer who would have been happy to reproduce their contribution .

S-325	und je mehr möglichkeiten es zur auswahl gibt , desto mehr attraktive eigenschaften dieser auswahl werden in den oppertunitätskosten berücksichtigt .
T-325	and the more options there are to consider , the more attractive features of these options are going to be reflected by us as opportunity costs .
H-325	and the more ways there are to choice , the more attractive properties of this choice , are vieded in the oppertunity costs .

S-366	und so , wenn menschen entscheidungen treffen , und auch wenn die ergebnisse der entscheidungen gut sind , fühlen sie sich enttäuscht darüber , sie beschuldigen sich selbst .
T-366	and so when people make decisions , and even though the results of the decisions are good , they feel disappointed about them ; they blame themselves .
H-366	and so when people make decisions , and even when the results of the decisions are good , they feel disappointed about it , they accuse themselves .

S-5691	jedoch waren diese öltröpfchen nicht etwa lebendig im heutigen sinne , weil jedes einzelne davon war nur ein kleines , zufälliges rezept von chemikalien .
T-5691	but now those drops of oil weren &apos;t really alive , as we say it now , because every one of them was a little random recipe of chemicals .
H-5691	but these oil droplet weren &apos;t about alive in the sense , because every single one of them was just a small , random random recipe of chemicals .

S-6350	legendär - wie ted williams legendär - der letzte major league baseball spieler der während einer regulären saison über 400 mal traf .
T-6350	legendary -- as in ted williams legendary -- the last major league baseball player to hit over 400 during a regular season .
H-6350	legendary -- as ted williams legendary -- the last major league baseball player , who , , during a regular season , met over 400 times .

S-962	dann wurden ihre gehirnwellen gemessen , und je nachdem , was sie gedacht haben oder wie sie gedacht haben , ist sind dann verschiedene lichter im raum angegangen .
T-962	their brain waves were then measured , and depending on what they thought about or how they thought , different lights in the roomwent switched on .
H-962	then their brainwaves were measured and depending on what they thought , or how you &apos;ve thought , then they &apos;ve come up with different lights in the room .

S-2615	wissen sie , es gibt da noch viele herausforderungen , aber es ist ein beispiel von vielen hunderten von konzepten , die wir brauchen , um vorwärts zu kommen .
T-2615	so , you know , it &apos;s got lots of challenges ahead , but it is an example of the many hundreds and hundreds of ideas that we need to move forward .
H-2615	you know , there &apos;s a lot of challenges , but it &apos;s an example of a lot hundreds of concepts that we need need to get to get forward .

S-3568	anthropolgen haben heraus gefunden , dass wir menschen von den mitgliedern unserer gesellschaft immer eines gefordert haben : nützlich zu sein und einen beitrag zu leisten .
T-3568	anthropologists tell us that the one thing we as humans have always required of our community members is to be of use , to be able to contribute .
H-3568	anthropopots have found that we &apos;ve always asked people from members of the members of our society : to be useful and to do a contribution .

S-4346	lustigerweise mussten wir auch noch in den parkplatz einbrechen , wir fühlten uns also zurecht als ein teil der sprüher-szene .
T-4346	the funny thing was , we had to break into the parking lot too , so we totally felt like we were legit in the whole graf scene too .
H-4346	luckily enough , we had to break into the parking lot , so we felt comfortable comfortable ourselves as a part of the spral scene .

S-4540	also in einem kraftwerk zum beispiel , wenn die große dampfturbine zu schnell wird , muss man entlastungsventile innerhalb von millisekunden öffnen .
T-4540	so for example , in a power plant , when your big steam turbine gets too over speed , you must open relief valves within a millisecond .
H-4540	so in a power station , for example if the big steam turbine fast fast you have to open up devalves in milliseconds .

S-4876	sie können alles mit anmerkungen versehen , ihren freunden schicken , und so eine unterhaltung beginnen darüber , was sie fühlen , wenn sie diese meisterwerke betrachten .
T-4876	you can annotate the stuff , send it to your friends and really get a conversation going about what you &apos;re feeling when you go through these masterpieces .
H-4876	you can see everything with remarks , send your friends , and so a conversation starts about what you feel when you look at these masterpieces .

S-6606	wir haben also die situation , dass die menschen die vergangenheit nicht kennen , obwohl wir in gebildeten gesellschaften leben , weil sie den quellen der vergangenheit nicht trauen .
T-6606	so you have a situation where people don &apos;t know the past , even though we live in literate societies , because they don &apos;t trust the sources of the past .
H-6606	so we have the situation that people don &apos;t know past , even though we live in trained societies because they don &apos;t trust the sources of the past .

S-6618	meine empfehlung also , die einzige , die ich geben werde , richtet sich an cameron , damit er &quot; avatar ii &quot; unter wasser dreht .
T-6618	and so my recommendation , it &apos;s the only one i will provide , is for cameron to do &quot; avatar ii &quot; underwater .
H-6618	so my recommendation , the only i &apos;m going to give , is on cameron so that he spin &quot; avatar ii , is underwater .

S-6647	und ich behaupte , dass es heute wahrscheinlicher ist , dass wir opfer eines online-verbrechens werden , als eines verbrechens in der realen welt .
T-6647	and i claim it &apos;s already today that it &apos;s more likely for any of us to become the victim of a crime online than here in the real world .
H-6647	and i &apos;m argue that it &apos;s more likely today that we will become victims of an online frale , than as a gile , in the real world .

S-22	und von diesen 6000 sprachen werden heute , während wir hier in monterey sitzen , genau die hälfte nicht mehr in die ohren von kindern geflüstert .
T-22	and of those 6,000 languages , as we sit here today in monterey , fully half are no longer being whispered into the ears of children .
H-22	and of those 6,000 languages today , , while we &apos;re sitting in monterey , half are no longer whisper into the ears of children .

S-1297	und das ist auf einem höheren gral der benutzungsfreundlichkeit als das der übertragung einer klassischen metapher , nämlich der des desktops .
T-1297	and that &apos;s on a higher grail of user friendliness than the transferal of a classic metaphor , which is the one of the desktop .
H-1297	and this is on a higher grail of user dness than that the transmission of a classic metaphor , which is is the desktop .

S-2612	das ist der abfall , die 99 % . man hat den teil , der heute verbrannt wird , herausgenommen also heißt es aufgebrauchtes uran .
T-2612	this is the leftover , the 99 percent , where they &apos;ve taken out the part they burn now , so it &apos;s called depleted uranium .
H-2612	this is the waste , the 99 percent . you have the part that &apos;s burned today , so it &apos;s the useful uranium .

S-2621	die restlichen 20 % werden in armen ländern erzeugt werden , sowie immer noch etwas landwirtschaft . hoffentlich wird waldrohdung und zement bis dahin sauber sein .
T-2621	and that 20 percent will be used up by things going on in poor countries , still some agriculture , hopefully we will have cleaned up forestry , cement .
H-2621	the rest of the 20 percent will be produced in poor countries , and as a bit of agriculture , and hopefully whale threat and cement will be clean to be then .

S-4254	sie können es sie tatsächlich von unten ansehen , die wichtigsten momente für olympia 2012 und darüberhinaus teilen , und es als art der verbindung zur gemeinschaft nutzen .
T-4254	you can actually see from underneath , sharing the main moments for the olympics in 2012 and beyond , and really using it as a way to connect with the community .
H-4254	you can actually look at it from the bottom , share the important moments for olympics , and over , and use it as a kind of connection to the community .

S-5933	dann sagte sie : » als nächstes versprich mir , dass du immer das richtige tun wirst . « auch wenn es schwer fällt , das richtige zu tun . «
T-5933	then she said , &quot; the second thing i want you to promise me is that you &apos;ll always do the right thing even when the right thing is the hard thing . &quot;
H-5933	then she said , &quot; next one , you &apos;re going to do the right thing thing , &quot; even if it &apos;s hard hard to do the right thing . &quot;

S-413	unsere fähigkeit genetischen code zu schreiben hat sich sehr langsam entwickelt aber trotzdem gesteigert . und unser letzter punkt würde jetzt auf eine exponentielle kurve setzen .
T-413	our ability to write the genetic code has been moving pretty slowly but has been increasing , and our latest point would put it on , now , an exponential curve .
H-413	our ability to write genetic code has evolved very slowly , but still increased , and our final point would now be put on an exponential curve .

S-1250	und wie wir dinge auch sehen , auf was wir achten und wie wir uns sozusagen auch gegen unserer umwelt absichern , damit wir das entsprechend überlegen können .
T-1250	and the way we see things , what we pay attention to and how we guard ourselves against our environment so to speak , so that we can consider it accordingly .
H-1250	and as we also see , what we pay attention , and how we kind of get ourselves against our environment , so that we can think about that .

S-1563	in der beschreibung zu meiner rede steht geschrieben , dass ich als interpretin , mich als übersetzerin , also im englischen wortsinn , verstehe .
T-1563	in the description of my presentation , it is written that i , as an interpreter , see myself as a translator , in the english sense of the word .
H-1563	in the description of my speech , that that , as an interpreter , i understand as a translator , in the english word i understand .

S-2287	es heißt pivot und was ich mit pivot machen kann ist , dass ich nach einer bestimmten todesursache filtern kann , sagen wir unfälle .
T-2287	it &apos;s called pivot , and with pivot what i can do is i can choose to filter in one particular cause of deaths -- say , accidents .
H-2287	it &apos;s called pivot and what i can do with pivot is that i can filter after a certain cause of death , we say accidents .

S-2630	diese durchbrüche müssen wir mit vollgas verfolgen und das können wir messen : in firmenzahlen , in pilotprojekten und regulierungsänderungen .
T-2630	these breakthroughs , we need to move those at full speed , and we can measure that in terms of companies , pilot projects , regulatory things that have been changed .
H-2630	we need to track these breakthroughwith with full gas , and we can measure that : in corporate numbers , in mushroom projects and regulation changes .

S-3228	sie können wissen , wie zufrieden jemand mit seinem leben ist , und das lehrt sie wirklich nicht viel darüber , wie glücklich er sein leben lebt und umgekehrt .
T-3228	you can know how satisfied somebody is with their life , and that really doesn &apos;t teach you much about how happily they &apos;re living their life , and vice versa .
H-3228	you can know how happy someone is with their life , and that really doesn &apos;t teach you a much about how happy he lives his life and vice versa .

S-1875	nur wenn sie dann ein anderes beispiel bringen , also wenn sie sofort den einen heuhaufen größer macht , dann braucht er auch keine vernunft und gar nichts dazu .
T-1875	only if you come with a different example , so as soon as you make one haystack bigger than the other , then he doesn &apos;t need any sense or anything else .
H-1875	only if you get a different example , so immediately you makes that pibunch of bigger , it doesn &apos;t need reason , it doesn &apos;t do it .

S-3382	wir vertrauen darauf , dass jemand zeit mit uns verbringt , dass die regeln eingehalten werden , dass wir das gleiche ziel haben und bis zum spielende dabei bleiben .
T-3382	we trust that they will spend their time with us , that they will play by the same rules , value the same goal , they &apos;ll stay with the game until it &apos;s over .
H-3382	we trust that somebody spends time with us , the rules will stop , that we have the same goal , and we stay to the play game .

S-4613	haben sie eine perspektive -- ich möchte nicht &quot; blickwinkel &quot; benutzen , denn das hat eine negative konnotation -- aber wissen sie , wie sich das entwickeln wird ?
T-4613	do you have a perspective -- i don &apos;t want to use &quot; angle &quot; because that has a negative connotation -- but do you know how this is going to play out ?
H-4613	do you have a perspective -- i don want to use perspective , , because that has a negative connotation -- but you know , how this will evolve ?

S-1386	und wo sie sehen , selbst bei etwas wie demeter , die strikteste bio- ja landwirtschaft , erlaubt nicht , dass unsere eigenen stoffwechselprodukte zurückgehen .
T-1386	and then you see that even something like demeter , the strictest organization for organic yes agriculture , doesn &apos;t allow for our own metabolic waste to be returned .
H-1386	and where you see , even something like demeter , the striking bio-- yes agriculture , doesn &apos;t allow our own metaboliolism .

S-3483	wir haben all diese fantastischen spieler , wir haben spiele , die uns zeigen , was wir tun können , aber wir haben die echte welt noch nicht gerettet .
T-3483	we &apos;ve got all these amazing gamers , we &apos;ve got these games that are kind of pilots of what we might do , but none of them have saved the real world yet .
H-3483	we have all these fantastic players , we &apos;ve got games that show us what we can do , but we haven &apos;t yet saved the real world .

S-3923	manche menschen mit xx chromosomen , entwickeln etwas , das ovotestis heißt , wobei eierstockgewebe von hodengewebe umhüllt ist .
T-3923	some people who have xx chromosomes develop what are called ovotestis , which is when you have ovarian tissue with testicular tissue wrapped around it .
H-3923	some people with xx chromosomes , they develop something called ovotestestis , which is ooon tissue unded of high tissue .

S-4011	es scheint als würde unsere kultur eine art pragmatische haltung einnehmen : &quot; gut , wir müssen irgendwo eine linie ziehen , also ziehen wir sie irgendwo . &quot;
T-4011	it seems like what happens in our culture is a sort of pragmatic attitude : &quot; well , we have to draw the line somewhere , so we will draw the line somewhere . &quot;
H-4011	it seems like our culture are a kind of pragmatic posture : &quot; &quot; right , we &apos;ve got to a line somewhere , so we &apos;re pulling it somewhere . &quot;

S-4981	aber man könnte an einen völlig neuen ort gehen , ein komplett neuen wohnblock bauen , vorausgesetzt die gesetze dort würden einen solchen bau unterstützen und ihn nicht behindern .
T-4981	but you could go out someplace brand new , build a brand new apartment building , as long as the rules there were ones that facilitated construction rather than getting in the way .
H-4981	but you could go to a whole new place , build a whole whole new block parting , the laws there there would support you build construction like this , and not stop it , and don &apos;t stop it .

S-5892	ich glaube , dass wir gelernt haben , dass die worte eines lehrers bedeutung haben , aber das die worte eines engagierten lehrers besonders bedeutungsvoll sind .
T-5892	and i think what we &apos;ve learned is that , if you &apos;re a teacher your words can be meaningful , but if you &apos;re a compassionate teacher , they can be especially meaningful .
H-5892	i think we &apos;ve learned that the words of of a teacher matter , but that are the words of a committed teacher are particularly meaningful .

S-6424	und ich durchlebte diese achterbahn , weil sie nach der stabilisation auf die intensivstation kam und ich hoffte , dass sie sich erholen würde .
T-6424	and i went through this roller coaster , because after they stabilized her , she went to the intensive care unit , and i hoped against hope that she would recover .
H-6424	and i lived through this rollerco, because she came to the intensity after the sting station , and i was hoping that she was going to recover .

S-2323	man sieht , wir surfen im netz das erste mal als ob es auch wirklich ein netz ist , nicht nur von seite zu seite , sondern viel abstrakter .
T-2323	so you see , we &apos;re navigating the web for the first time as if it &apos;s actually a web , not from page-to-page , but at a higher level of abstraction .
H-2323	you can see we sursurf on the web , as if it &apos;s also a web , not just from side to to side , it &apos;s much more abstract .

S-2500	aber , wenn wir den preis verringern -- lassen wir uns den preis halbieren -- treffen wir auf eine neue barriere und diese barriere hängt mit co2 zusammen .
T-2500	but , as we make it cheaper -- and let &apos;s go for making it twice as cheap -- we need to meet a new constraint , and that constraint has to do with co2 .
H-2500	but if we reduce reduce the price -- let &apos;s try the price half -- we &apos;re hit a new barrier , and that barrier is linrelated to co2 .

S-5864	zum thema umweltkrise , ein großes problem der letzten 10 jahre ist , dass kinder in ihren zimmern sitzen , an ihren computern , ohne rauszugehen .
T-5864	speaking of the environmental crisis , i think a big problem has been in the last 10 years is that children have been locked inside their rooms , glued to their pcs , they haven &apos;t been able to get out .
H-5864	the the environmental crisis , a big problem of the last 10 years is that kids are sitting in their rooms , sitting on their computers , without going out .

S-1826	und wenn sie diese voraussetzung vor augen haben , dann verstehen sie die logik , mit der wir dieses glück erleben , durch eine lüge unsere welt verbessern zu können .
T-1826	because now you can implement a rule of three .
H-1826	and if you have that premisin front of you you understand the logic that we &apos;re expericing this happiness , to improve improve a lie to our world .

S-5030	alles , was sie auf diesem bild sehen können , wurde innerhalb von vier jahren erbaut , nachdem es vier jahre gedauert hat , die genehmigungen zu erhalten .
T-5030	everything you see there was built in four years , after they spent four years getting the permits .
H-5030	everything you can see in this picture was been built within four years after it it took four years to get the permits .

S-5102	nun , in den letzten zehn jahren haben wir bei menschen drei wesentliche negative konsequenzen beobachtet , die das anbieten von mehr und mehr auswahlmöglichkeiten mit sich bringt .
T-5102	well , over the past decade , we have observed three main negative consequences to offering people more and more choices .
H-5102	well , in the last 10 years , we &apos;ve seen three three negative consequences in people that are bringing the offer of more and more choices .

S-244	mein favorit ist der in der mitte -- mp3-player- , nasen-haar-trimmer und crème br<unk> lée fackel .
T-244	my favorite is the middle one -- the mp3 player , nose hair trimmer , and creme brulee torch .
H-244	my favorite one is in the middle -- mp3-player , nasa hair trimmer and crust brlée factors .

S-541	nun , das alles ist noch beeindruckender wenn sie sich vorstellen , dass die magneten über 20 tonnen wiegen und sich um ca. 30 cm verschoben .
T-541	now that &apos;s more impressive when you consider those magnets weigh over 20 tons , and they moved about a foot .
H-541	now , all of this is more amazing when you imagine that the magnets weigh over 20 tons , and disstorted by about 30 inches .

S-3791	wenn ich nicht die armut bekämpfe , bekämpfe ich als gehilfe eines feuerwehr-hauptmanns bei einem freiwilligen löschzug das feuer .
T-3791	when i &apos;m not fighting poverty , i &apos;m fighting fires as the assistant captain of a volunteer fire company .
H-3791	if i don &apos;t fight poverty , i &apos;m fight as the help of a fire man man , in a volunteer , to fight the fire .

S-4073	und da sie nicht von mir gehört haben als die frau , die hier bei ted in ihrer unterwäsche herumläuft – heißt das , ich habe ein paar sachen gefunden .
T-4073	and since you don &apos;t know me as the woman walking around ted in her underwear -- that means i found a few things .
H-4073	and since you haven &apos;t heard of me as the woman who &apos;s walking here at ted in her underwear -- means that , i , i &apos;ve found a few things .

S-1458	aber ein lippenstift , selbst bei dieser beleuchtung , kann ich ihnen sagen , ist völlig ineffizient , aber ganz und gar effektiv , ja ?
T-1458	but i can tell you , even in this light , that lipstick is totally inefficient , but very effective , you see ?
H-1458	but a lip pen , even in that lighting , i can tell you , is completely inefficient , but it &apos;s all effective , right ?

S-2213	ich sagte : &quot; miguel , ist ein gut gedeihender vogelbestand nicht das letzte , das man auf einer fischaufzucht haben möchte ? &quot;
T-2213	i said , &quot; miguel , isn &apos;t a thriving bird population like the last thing you want on a fish farm ? &quot;
H-2213	i said , &quot; miguel , is a well-good thrivian population not the last one you want to get up on a fish ? &quot;

S-2495	tatsache ist , dass , wenn sie nur von einer sache den preis verringern könnten , zur armutsverringerung wäre energie bei weitem am effektivsten .
T-2495	in fact , if you could pick just one thing to lower the price of , to reduce poverty , by far you would pick energy .
H-2495	in fact , that if you could only reduce the price from one thing , to poverty recrection , would be the effective in the most effective .

S-4393	wir fanden eins für sie , wir brachten sie hin , und wir kümmerten uns um sie , und wir gaben auf ihre familie acht , weil es nötig war ,
T-4393	we found her one , we got her there , and we took care of her and watched over her family , because it was necessary .
H-4393	we found one for them , we took them down , and we took iscare for them , and we gave to their family , because it was needed .

S-4722	ich brauchte jemanden , der in meinen kopf eindringen könnte , jemand , der mir wirklich helfen könnte zu verstehen , was man die &quot; markenpersönlichkeit &quot; nennt .
T-4722	i needed somebody who could get inside my head , somebody who could really help me understand what they call your &quot; brand personality . &quot;
H-4722	i needed somebody to could go into my head , somebody who could really help me understand what &apos;s call the brand personality . &quot;

S-513	sie haben es dieses jahr mit der grippe gesehen , wir sind immer ein jahr hinten dran und haben einen dollar zu wenig , wenn es um den richtigen impfstoff geht .
T-513	you &apos;ve seen this year with flu ; we &apos;re always a year behind and a dollar short when it comes to the right vaccine .
H-513	you &apos;ve seen this year with the flu , we &apos;re always one year year behind , and we &apos;ve got a dollar too little when it comes to the right vaccine .

S-476	alle proteine änderten sich die membranen änderten sich -- als wir den genetischen code lasen , war es genau das was wir transferiert haben .
T-476	all the proteins changed , the membranes changed ; when we read the genetic code , it &apos;s exactly what we had transferred in .
H-476	all proteins proteins changed the membranes changed -- -- and when we read the genetic code , and it was exactly what we &apos;ve transred .

S-531	ich weiss nicht , ob dies den größten jubel erzeugte , oder dies , als jemand die google seite besuchte und die startseite so vorfand .
T-531	i don &apos;t know whether this got the biggest cheer , or this , when someone went onto google and saw the front page was like that .
H-531	i don &apos;t know if this generated the biggest jew , or this when someone visited the google page and found the start like this .

S-2036	und ich gehe einfach davon aus , dass wir in den nächsten dreißig jahren die gleiche kapazität an elektrochemischen speichern auf der ganzen welt haben werden .
T-2036	and i simply assume that we &apos;ll have the same capacity of electrochemical reservoirs in the whole world for the next thirty years .
H-2036	and i just assume that in the next 30 years , we have the same capacity of electrochemical memory all over the world .

S-2052	als steve lopez , kolumnist der los angeles times , eines tages durch die straßen im zentrum von los angeles ging , hörte er eine wundervolle musik .
T-2052	one day , los angeles times columnist steve lopez was walking along the streets of downtown los angeles when he heard beautiful music .
H-2052	when steve lopez , columnist the los angeles times , one day went through the streets at the center of los los angeles , and he heard a wonderful music .

S-3051	und wenn ich meine hand schließe , passiert dasselbe , indem ich mich zurückdrehe , wird durch diese bewegung verborgen , dass der finger sich wieder zurückbewegt .
T-3051	and then when i close my finger , same thing , as i move back , this motion kind of covers the moving back of my finger .
H-3051	and when i close my hand , the same thing happens , by turning back , it be hidden by this movement that the fingers are moving again .

S-3298	warum ? dieses bild beschreibt ziemlich genau , warum ich glaube , dass spiele so unerlässlich für das überleben der menschlichen spezies in der zukunft sind . ernsthaft .
T-3298	here &apos;s why . this picture pretty much sums up why i think games are so essential to the future survival of the human species . truly .
H-3298	why ? this picture is pretty describing why i think that games are vital to the survival of of the human species in the future . seriously .

S-3784	anpassungsfähige technologien haben es mir seitdem ermöglich , zu lernen , wieder ski zu fahren , zu klettern und sogar mit den händen rad zu fahren .
T-3784	adaptive technology has since enabled me to learn how to downhill ski again , to rock climb and even handcycle .
H-3784	adapttechnologies technologies have &apos;ve possible able able able to learn , to drive ski , to climb and to even drive with my hands wheel .

S-4477	das erregte unsere aufmerksamkeit und wir begannen ein labor- projekt , in dem wir unsere umgebung mit stuxnet infizierten , und untersuchten dieses konstrukt .
T-4477	so that got our attention , and we started a lab project where we infected our environment with stuxnet and checked this thing out .
H-4477	this attracted our attention , and we started a lab project where we infected our environment with stuxnet , and studied this construct .

S-4500	und dann suchten wir nach timern und datenstrukturen und versuchten , diese mit der echten welt in verbindung zu bringen -- mit potentiellen zielen in der echten welt .
T-4500	and then we were looking for timers and data structures and trying to relate them to the real world -- to potential real world targets .
H-4500	and then we looked for tigers and data structures , and we tried to connect them with the real world -- with with potential potential targoals in the real world .

S-764	der grösste einzelne faktor für die globale erwärmung , neben abholzung , welches 20 prozent ausmacht , ist das verbrennen von fossilen brennstoffen .
T-764	the biggest single cause of global warming , along with deforestation , which is 20 percent of it , is the burning of fossil fuels .
H-764	the biggest single factor for global warming , besides deforestation , which is 20 percent , is the burning of fossil fuels .

S-1665	es ist notwendig , seine eigenen erlebnisse und idee der musik zu haben , um es dann über eine weitere möglichkeit , also über ein instrument , zum klingen zu bringen .
T-1665	it &apos;s necessary to have one &apos;s own experiences and idea of music to then make it resonate through a further possibility , which is an instrument .
H-1665	it &apos;s necessary to have its own experiences and idea of music , and then get it over another way , so an instrument , , to sound .

S-1801	und überdies , man sagt auch seiner lehrerin nicht , dass man gerne brände irgendwo legt und sich freut , wenn das feuer nachher hochlodert .
T-1801	no , it simply looks a lot better when we show that we &apos;re responsible for removing the danger that others create when they set a fire .
H-1801	and overthat , you don &apos;t tell your teacher , that you like to put brands somewhere , and you &apos;re happy when the fire is coming up afterwards .

S-2732	und natürlich gibt es auch teams die viel mehr &quot; ta-da &quot; -gebilde haben und unter den besten sind frische absolventen des kindergartens .
T-2732	and of course there are teams that have a lot more &quot; ta-da &quot; structures , and among the best are recent graduates of kindergarten .
H-2732	and of course , there are teams who have much more &quot; ta-da , and under the best , these are fresh graduates of child behavior .

S-4983	später habe ich herausgefunden , dass , etwa um die gleiche zeit , javier und octavio über die herausforderung einer reform in honduras nachgedacht haben .
T-4983	later i learned that at about this same time , javier and octavio were thinking about the challenge of reform in honduras .
H-4983	i later i found that , about the same time , and jafour and octavio thought about about the challenge of a reform in honduras .

S-1920	und ja , vieles von dem , was heute gesagt wurde , berührt mich sehr , weil viele , viele schöne äußerungen dabei waren , die ich auch durchlebt habe .
T-1920	and yes , a lot of what is said today really moves me , because many , many nice statements were made , which i also was part of .
H-1920	and yes , a lot of what was said today , i touched , because many , lots lots beautiful expressions were on it that i &apos;ve lived through .

S-2368	seitdem , in den 40 jahren , die inzwischen verstrichen sind , habe ich ungefähr 3 000 stunden unter wasser verbracht . 500 stunden davon in tauchbooten .
T-2368	since then , in the intervening 40 years , i &apos;ve spent about 3,000 hours underwater , and 500 hours of that was in submersibles .
H-2368	since , in the 40 years that have now striking , i &apos;ve spent about 3,000 hours under water , and 500 hours of it in dimersiats .

S-3777	seine vollständig non-invasiven sensoren in den krücken , die signale zurücksenden an unseren onboard-computer , der hier auf ihrem rücken befestigt ist .
T-3777	it &apos;s completely non-invasive , sensors in the crutches that send signals back to our onboard computer that is sitting here at her back .
H-3777	his completely non-invasive sensors in the crutches that send signals back to our onbo computer , which is attached on your back .

S-4779	denn sie umgingen den mittelsmann , sie umgingen die agenturen , und sagten , dass die agenturen vielleicht nicht wirklich ihr interesse im sinn haben .
T-4779	they cut out the middleman , they cut out their agencies and said , &quot; maybe these agencies don &apos;t have my best interest in mind .
H-4779	because they went around the middle man , they went around the agencies , and they said that the agencies , maybe not really really going to have their interest in mind .

S-4918	denn wenn alle sachen aus teilchen bestehen und all diese teilchen den regeln der quantenmechanik folgen , sollte dann nicht einfach alles den regeln der quantenmechanik folgen ?
T-4918	because if everything is made up of little particles and all the little particles follow quantum mechanics , then shouldn &apos;t everything just follow quantum mechanics ?
H-4918	because if all things are made of particles and all these these particles follow the rules of quantum mechanics , not just all follow the rules of quantum mechanics ?

S-4992	wir schenken neuen technologien große beachtung , aber für den fortschritt bedarf es technologien und gesetzen . und es sind für gewöhnlich gesetze , die uns zurückhalten .
T-4992	we pay a lot of attention to new technologies , but it takes technologies and rules to get progress , and it &apos;s usually the rules that hold us back .
H-4992	we give new technologies to technologies , but for the progress , it needs technologies and laws , and it &apos;s usually usually laws that hold us back .

S-5732	weil zu diesem zeitpunkt ein individuum – lernen passierte nun innerhalb der zeitspanne der lebensdauer eines einzelnen organismus , anstatt über diese evolutionäre zeitspanne .
T-5732	because at that point , an individual -- learning could happen within the time span of a single organism , instead of over this evolutionary time span .
H-5732	because at that point , an individual -- learning now happened within the period of the life of a single organism , rather than this evolutionary time period .

